z,a,N,H_over_H0,D,f,sigma8_z,fsigma8
2.871725009,0.258282806158871,-1.3537001464893696,4.255768318,0.3269717006092781,0.9965364389373889,0.2615773604874225,0.26067137132677765
2.869040922,0.2584619858409448,-1.353006652555695,4.25151471,0.3271977377938468,0.9964621402208889,0.26175819023507746,0.26083212646199183
2.866358696,0.2586412898095992,-1.352313158685965,4.247265695,0.32742391434395696,0.9963878121068975,0.26193913147516557,0.2609929581157212
2.863678329,0.258820718198562,-1.351619664696543,4.243021269,0.3276502303859451,0.9963134543240445,0.2621201843087561,0.261153866276712
2.860999821,0.25900027100778256,-1.3509261709210518,4.238781427,0.32787668587728064,0.9962390666562999,0.26230134870182453,0.26131485081339434
2.858323169,0.259179948438373,-1.350232676916269,4.234546165,0.32810328102901637,0.9961646488041898,0.2624826248232131,0.261475911774218
2.855648373,0.25935975049040083,-1.3495391830155885,4.230315479,0.3283300157985167,0.9960902005514312,0.26266401263881334,0.2616370490270392
2.852975431,0.25953967729829525,-1.3488456890340195,4.226089363,0.3285568903124625,0.9960157216259942,0.26284551224997,0.2617982625598079
2.850304342,0.2597197289294177,-1.3481521950455464,4.221867814,0.3287839046128264,0.9959412117835302,0.26302712369026116,0.26195955230001516
2.847635105,0.25989990545114333,-1.3474587011241264,4.217650825,0.32901105874147496,0.9958666707795834,0.26320884699318,0.2621209181748309
2.844967719,0.2600802069308608,-1.3467652073436907,4.213438394,0.32923835274016744,0.9957920983695938,0.26339068219213396,0.2622823601111039
2.842302181,0.2602606335714437,-1.3460717132576228,4.209230515,0.3294657868213162,0.9957174942528907,0.263572629457053,0.26244387815662246
2.839638492,0.2604411853052128,-1.3453782194595993,4.205027184,0.32969336085615525,0.9956428582405924,0.2637546886849242,0.26260547211661556
2.836976649,0.26062186233544626,-1.3446847255022263,4.200828395,0.3299210750573322,0.9955681900317004,0.26393686004586575,0.26276714203851276
2.834316651,0.260802664730154,-1.343991231458241,4.196634146,0.33014892946685365,0.9954934893810627,0.26411914357348293,0.2629288878483044
2.831658498,0.260983592489249,-1.343297737661335,4.19244443,0.33037692404079333,0.9954187560715609,0.26430153923263466,0.2630907094107481
2.829002187,0.26116464581690246,-1.342604243662401,4.188259244,0.3306050589924919,0.9953439898016196,0.2644840471939935,0.2632526067729493
2.826347718,0.26134582471315276,-1.3419107497948897,4.184078583,0.330833334277926,0.9952691903538987,0.2646666674223408,0.2634145797990977
2.823695089,0.2615271293144682,-1.3412172558698925,4.179902442,0.3310617500248488,0.9951943574546389,0.26484940001987906,0.26357662847503016
2.821044299,0.26170855968922124,-1.3405237619594528,4.175730817,0.331290306275082,0.9951194908581201,0.2650322450200656,0.26373875272535224
2.818395346,0.2618901159743871,-1.3398302678736929,4.171563704,0.3315190031567347,0.9950445902902406,0.26521520252538777,0.2639009525356177
2.81574823,0.26207179816997517,-1.339136773946119,4.167401097,0.3317478406252563,0.9949696555333286,0.26539827250020503,0.2640632277686695
2.81310295,0.26225360634440775,-1.3384432802486796,4.163242993,0.3319768187221576,0.9948946863413994,0.2655814549777261,0.2642255783481573
2.810459502,0.26243554077274117,-1.3377497860659828,4.159089386,0.33220593774903967,0.9948196823832122,0.26576475019923174,0.26438800438185345
2.807817888,0.2626176013173874,-1.3370562922561258,4.154940272,0.3324351974876946,0.9947446434975848,0.2659481579901557,0.2645505056087568
2.805178105,0.26279978818494754,-1.3363627983653568,4.150795647,0.332664598153241,0.9946695693813696,0.26613167852259284,0.26471308207480854
2.802540152,0.26298210144448725,-1.3356693044643975,4.146655506,0.33289413978746046,0.9945944597880493,0.26631531182996837,0.26487573370281325
2.799904027,0.2631645412343463,-1.334975810360769,4.142519845,0.3331238225192191,0.9945193144425051,0.2664990580153753,0.26503846047702445
2.797269731,0.26334710748521223,-1.334282316651269,4.138388659,0.3333536462158375,0.9944441331550744,0.26668291697267005,0.26520126219615353
2.79463726,0.26352980047426194,-1.3335888226164696,4.134261944,0.33358361118069374,0.9943689155933363,0.266866888944555,0.2653641389675645
2.792006614,0.2637126202016693,-1.3328953285895664,4.130139695,0.3338137173683209,0.9942936615388849,0.2670509738946567,0.26552709065124336
2.789377793,0.26389556666724256,-1.3322018349044473,4.126021908,0.3340439647326951,0.9942183707733747,0.2672351717861561,0.26569011710657503
