z,H_over_H0,dL,w_phi,w_tot
1.934412630e-01,1.103252969e+00,2.202532619e-01,-9.995526176e-01,-5.849775267e-01
1.942691943e-01,1.103749934e+00,2.213020915e-01,-9.995504159e-01,-5.844876040e-01
1.950977000e-01,1.104247659e+00,2.223524881e-01,-9.995482044e-01,-5.839975073e-01
1.959267805e-01,1.104746146e+00,2.234044531e-01,-9.995459829e-01,-5.835072376e-01
1.967564361e-01,1.105245396e+00,2.244579881e-01,-9.995437515e-01,-5.830167958e-01
1.975866672e-01,1.105745409e+00,2.255130945e-01,-9.995415101e-01,-5.825261827e-01
1.984174744e-01,1.106246187e+00,2.265697736e-01,-9.995392586e-01,-5.820353994e-01
1.992488578e-01,1.106747731e+00,2.276280269e-01,-9.995369970e-01,-5.815444466e-01
2.000808181e-01,1.107250042e+00,2.286878560e-01,-9.995347253e-01,-5.810533253e-01
2.009133555e-01,1.107753120e+00,2.297492621e-01,-9.995324434e-01,-5.805620364e-01
2.017464705e-01,1.108256968e+00,2.308122468e-01,-9.995301513e-01,-5.800705808e-01
2.025801634e-01,1.108761585e+00,2.318768114e-01,-9.995278490e-01,-5.795789594e-01
2.034144347e-01,1.109266973e+00,2.329429575e-01,-9.995255363e-01,-5.790871732e-01
2.042492847e-01,1.109773133e+00,2.340106865e-01,-9.995232133e-01,-5.785952230e-01
2.050847139e-01,1.110280066e+00,2.350799997e-01,-9.995208799e-01,-5.781031098e-01
2.059207227e-01,1.110787774e+00,2.361508987e-01,-9.995185360e-01,-5.776108345e-01
2.067573115e-01,1.111296256e+00,2.372233849e-01,-9.995161817e-01,-5.771183980e-01
2.075944806e-01,1.111805514e+00,2.382974598e-01,-9.995138168e-01,-5.766258012e-01
2.084322305e-01,1.112315550e+00,2.393731247e-01,-9.995114414e-01,-5.761330451e-01
2.092705616e-01,1.112826364e+00,2.404503811e-01,-9.995090553e-01,-5.756401305e-01
2.101094742e-01,1.113337957e+00,2.415292305e-01,-9.995066586e-01,-5.751470584e-01
2.109489688e-01,1.113850330e+00,2.426096742e-01,-9.995042512e-01,-5.746538297e-01
2.117890459e-01,1.114363485e+00,2.436917139e-01,-9.995018330e-01,-5.741604454e-01
2.126297057e-01,1.114877422e+00,2.447753508e-01,-9.994994040e-01,-5.736669064e-01
2.134709487e-01,1.115392143e+00,2.458605865e-01,-9.994969642e-01,-5.731732135e-01
2.143127753e-01,1.115907648e+00,2.469474223e-01,-9.994945135e-01,-5.726793678e-01
